"component","line","message"
"scholario:app/src/main/java/com/scholario/app/config/GraphQLConfig.java","3","Remove this unused import 'graphql.language.EnumValue'."
"scholario:scholario-user-module/src/test/java/com/scholario/user/resolver/UserMutationResolverTest.java","4","Remove this unused import 'com.scholario.user.dto.ProfileInput'."
"scholario:scholario-auth-module/src/test/java/com/scholario/auth/resolver/AuthMutationResolverTest.java","15","Remove this unused import 'org.mockito.ArgumentMatchers.any'."
"scholario:scholario-auth-module/src/test/java/com/scholario/auth/resolver/AuthQueryResolverTest.java","3","Remove this unused import 'com.scholario.auth.dto.TokenValidationResponse'."
"scholario:scholario-analytics-module/src/test/java/com/scholario/analytics/service/AnalyticsServiceTest.java","25","Remove this unused import 'java.util.Collections'."
"scholario:scholario-recommendation-module/src/main/java/com/scholario/recommendation/service/RecommendationService.java","4","Remove this unused import 'com.scholario.book.model.Book'."
"scholario:scholario-recommendation-module/src/main/java/com/scholario/recommendation/service/RecommendationService.java","34","Remove this unused ""user"" local variable."
"scholario:scholario-auth-module/src/main/java/com/scholario/auth/resolver/AuthQueryResolver.java","8","Remove this unused import 'org.springframework.security.access.prepost.PreAuthorize'."
"scholario:scholario-auth-module/src/main/java/com/scholario/auth/service/JwtService.java","11","Remove this unused import 'java.time.Instant'."
"scholario:scholario-auth-module/src/main/java/com/scholario/auth/service/JwtService.java","12","Remove this unused import 'java.time.temporal.ChronoUnit'."
"scholario:scholario-auth-module/src/test/java/com/scholario/auth/service/AuthServiceTest.java","23","Remove this unused import 'org.mockito.ArgumentMatchers.any'."
"scholario:scholario-auth-module/src/test/java/com/scholario/auth/service/AuthServiceTest.java","24","Remove this unused import 'org.mockito.ArgumentMatchers.anyString'."
"scholario:scholario-violation-module/src/main/java/com/scholario/violation/service/ViolationService.java","55","Remove this unused ""since"" local variable."
"scholario:scholario-review-module/src/main/java/com/scholario/review/dto/ReviewResponse.java","3","Remove this unused import 'com.scholario.review.model.ReviewStatus'."
"scholario:scholario-review-module/src/main/java/com/scholario/review/dto/ReviewResponse.java","4","Remove this unused import 'java.time.LocalDateTime'."
"scholario:scholario-review-module/src/main/java/com/scholario/review/resolver/ReviewQueryResolver.java","4","Remove this unused import 'com.scholario.review.model.ReviewHistory'."
"scholario:scholario-review-module/src/main/java/com/scholario/review/service/ReviewService.java","4","Remove this unused import 'com.scholario.book.model.Published'."
"scholario:scholario-review-module/src/main/java/com/scholario/review/service/ReviewService.java","12","Remove this unused import 'java.time.LocalDateTime'."
"scholario:scholario-course-module/src/main/java/com/scholario/course/resolver/CourseMutationResolver.java","5","Remove this unused import 'com.scholario.course.dto.CourseMaterialResponse'."
"scholario:scholario-course-module/src/main/java/com/scholario/course/resolver/CourseMutationResolver.java","6","Remove this unused import 'com.scholario.course.dto.CourseResponse'."
"scholario:scholario-course-module/src/main/java/com/scholario/course/resolver/CourseMutationResolver.java","16","Remove this unused import 'java.util.stream.Collectors'."
"scholario:scholario-course-module/src/main/java/com/scholario/course/resolver/CourseQueryResolver.java","5","Remove this unused import 'com.scholario.course.dto.CourseResponse'."
"scholario:scholario-course-module/src/main/java/com/scholario/course/resolver/CourseQueryResolver.java","7","Remove this unused import 'com.scholario.course.model.CourseMaterial'."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/model/IssueState.java","19","Remove this unused ""r"" local variable."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/model/IssueState.java","20","Remove this unused ""i"" local variable."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/model/IssueState.java","21","Remove this unused ""r"" local variable."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/model/IssueState.java","22","Remove this unused ""o"" local variable."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/repository/IssueRecordRepository.java","5","Remove this unused import 'org.springframework.data.repository.query.Param'."
"scholario:scholario-lending-module/src/main/java/com/scholario/lending/service/IssueService.java","15","Remove this unused import 'java.util.Optional'."
"scholario:scholario-reserve-module/src/main/java/com/scholario/reserve/dto/ReservationResponse.java","5","Remove this unused import 'java.time.LocalDateTime'."
"scholario:scholario-reserve-module/src/main/java/com/scholario/reserve/repository/ReservationRepository.java","5","Remove this unused import 'org.springframework.data.jpa.repository.Query'."
"scholario:scholario-book-module/src/main/java/com/scholario/book/dto/BookResponse.java","3","Remove this unused import 'com.scholario.book.model.BookState'."
"scholario:scholario-book-module/src/main/java/com/scholario/book/dto/BookResponse.java","17","Remove this unused method parameter ""factory""."
"scholario:scholario-book-module/src/main/java/com/scholario/book/model/BookState.java","25","Remove this unused ""d"" local variable."
"scholario:scholario-book-module/src/main/java/com/scholario/book/model/BookState.java","26","Remove this unused ""r"" local variable."
"scholario:scholario-book-module/src/main/java/com/scholario/book/model/BookState.java","27","Remove this unused ""p"" local variable."
"scholario:scholario-book-module/src/main/java/com/scholario/book/model/BookState.java","28","Remove this unused ""a"" local variable."
"scholario:scholario-book-module/src/main/java/com/scholario/book/resolver/BookMutationResolver.java","7","Remove this unused import 'graphql.schema.DataFetchingEnvironment'."
